Library,Location,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Federated search product Name,Federated search product Year,Web Content Management Name,Web Content Management Year,Item ID Type Name,Item ID Type Year,RFID Provider Name,RFID Provider Year,Catalog Enhancement Name,Catalog Enhancement Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,Self-Check Name,Self-Check Year,RFID Tag Type Name,RFID Tag Type Year,Digital Asset Management Name,Digital Asset Management Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Electronic Resource Management Name,Electronic Resource Management Year,Automated Materials Handling Name,Automated Materials Handling Year,Institutional Repository Name,Institutional Repository Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Archives Management Name,Archives Management Year,Previous Discovery Index Name,Previous Discovery Index Year,Previous Link resolver Name,Previous Link resolver Year
Davenport Public Library,"Davenport, IA",https://www.davenportlibrary.com/,http://rivershare.polarislibrary.com/default.aspx?ctx=14.1033.0.0.1,Polaris,2011,Symphony,2003,PLUS,1985,,,,,AquaBrowser Library,,,,,,,,RFID,,Tech Logic,,,,,,,,HF,,,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,
Dayton Metro Library,"Dayton - Montgomery County, OH",https://www.daytonmetrolibrary.org/,http://pac.daytonmetrolibrary.org/,Polaris,2012,Horizon,2003,DRA,1985,,,BiblioCore,2022,,,,,,,BiblioWeb,,RFID,,3M / Bibliotheca,,,,,,3M SelfCheck System Model 8420,,HF,,,,,,,,Lyngsoe,,,,3M / Bibliotheca,,,,,,,
DeKalb County Public Library,"DeKalb County, GA",https://www.dekalblibrary.org,http://dekalb.polarislibrary.com/polaris/default.aspx,Polaris,2016,Horizon,2004,Dynix,1998,NOTIS,1985,Encore,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Public Library,"Denver, CO",https://www.denverlibrary.org/,http://catalog.denverlibrary.org,Polaris,2010,Carl,1981,,,,,,,AquaBrowser Library,,,,360 Search,,Drupal,,RFID,,Bibliotheca,,,,,,3M SelfCheck System V-Series,,HF,,CONTENTdm,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,
Des Moines Public Library,"Des Moines, IA",https://www.dmpl.org/,https://desmoin.ent.sirsi.net,Koha -- ByWater Solutions,2022,Horizon,2004,Dynix,1998,NOTIS,1985,Aspen Discovery -- ByWater Solutions,2022,Enterprise,2016,,,,,Library Market,,RFID,,3M,,,,,,3M SelfCheck System V-Series,,HF,,,,,,,,,,,,,,,,,,,
Detroit Public Library,"Detroit, MI",https://detroitpubliclibrary.org/,http://webpac.wayne.edu/webpac-bin/wgbroker?new+-access+top.dpl,Symphony,2004,Horizon,1999,NOTIS,1985,,,Enterprise,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham County Library,"Durham County, NC",https://durhamcountylibrary.org/,https://durhamcounty.bibliocommons.com/,Polaris,2022,Horizon,2006,Dynix,1987,,,BiblioCore,2020,Enterprise,2013,,,,,WordPress,,RFID,,Envisionware,,NoveList Select,,,,,,UHF,,Islandora,,,,,,Lyngsoe Systems,,,,,,ArchivesSpace,,,,,
East Baton Rouge Parish Library,"East Baton Rouge, LA",https://www.ebrpl.com/,https://catalog.ebrpl.com/iguana/www.main.cls?surl=DEFAULT,V-smart,2009,PLUS,1986,,,,,,,,,,,,,,,RFID,,,,,,EBSCO Discovery Service,2013,,,HF,,,,,,,,,,,,,,,,,,,
East Cleveland Public Library,"East Cleveland, OH",https://www.eastclevelandpubliclibrary.org/,http://catalog.clevnet.org/EC,Symphony,2003,DRA,1979,None,,,,Enterprise,2016,BiblioCore,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Oklahoma Library System,"Eastern District, OK",https://eols.org/,http://eok.ent.sirsi.net/client/en_US/default/,Horizon,2003,Dynix,1990,,,,,Enterprise,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
