Library,Location,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Federated search product Name,Federated search product Year,Web Content Management Name,Web Content Management Year,Item ID Type Name,Item ID Type Year,RFID Provider Name,RFID Provider Year,Catalog Enhancement Name,Catalog Enhancement Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,Self-Check Name,Self-Check Year,RFID Tag Type Name,RFID Tag Type Year,Digital Asset Management Name,Digital Asset Management Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Electronic Resource Management Name,Electronic Resource Management Year,Automated Materials Handling Name,Automated Materials Handling Year,Institutional Repository Name,Institutional Repository Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Archives Management Name,Archives Management Year,Previous Discovery Index Name,Previous Discovery Index Year,Previous Link resolver Name,Previous Link resolver Year
LeRoy Collins Leon County Public Library,"Leon County, FL",https://cms.leoncountyfl.gov/Library,http://lcpl.ent.sirsi.net/client/lcpl,Symphony,2003,DRA,1991,,,,,,,,,,,,,,,Barcode,,,,,,,,3M SelfCheck System Model 6420,,,,,,,,,,,,,,,,,,,,,
Lexington Public Library,"Lexington, KY",https://www.lexpublib.org/,https://catalog.lexpublib.org,CARL.Solution,2018,Library.Solution,2004,DRA,1985,,,CARL.Connect Discovery,2018,LS2 PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln City Libraries,"Lincoln, NE",https://lincolnlibraries.org/,https://lcl.ent.sirsi.net/client/en_US/default,Symphony,2015,Koha -- LibLime,2010,Horizon,2002,Dynix,1987,Enterprise,,,,None,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak Public Libraries,"Live Oak Region, GA",https://www.liveoakpl.org/home,http://webcat.liveoakpl.org,Evergreen -- Independent,2018,Symphony,1989,,,,,Enterprise,,,,,,,,,,Barcode,,,,,,,,PINES Selfcheck,,,,,,,,,,,,,,,,,,,,,
Long Beach Public Library,"Long Beach, CA",https://www.longbeach.gov/library,http://encore.lbpl.org/,Sierra,2011,Millennium,2008,Dynix,1997,NOTIS,1985,,,,,,,MetaFind,,,,RFID,,Bibliotheca-ITG,,Encore,,,,Express Lane,,HF,,CONTENTdm,,,,Electronic Resource Management,,Tech Logic -- Automated Sorting Technologies,,CONTENTdm,,TAGSYS,,,,,,,
County of Los Angeles Public Library,"Los Angeles County, CA",https://lacountylibrary.org/,https://catalog.lacountylibrary.org/client/en_US/default,Symphony,2006,DRA,1988,,,,,Enterprise,,,,,,Sirsi SingleSearch,,,,Barcode,,,,,,,,,,,,,,Sirsi Resolver,,360 Resource Manager,,,,,,,,,,,,,
Los Angeles Public Library,"Los Angeles, CA",https://www.lapl.org/,http://www.lapl.org/catalog/,Carl.X,2009,Carl,1993,None,,,,LS2 PAC,2012,,,,,,,Drupal,,,,Tech Logic,,,,,,3M SelfCheck System V-Series,,,,,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,
Loudoun County Public Library,"Loudoun County, VA",https://library.loudoun.gov/,https://catalog.library.loudoun.gov/?section=home,Carl.X,2015,Horizon,2001,Dynix,1994,GLIS,1985,Carl.Connect Discovery,,,,,,,,,,RFID,,Bibliotheca,,,,,,,,HF,,,,,,,,Bibliotheca,,,,,,,,,,,
Louisville Free Public Library - Main,"Louisville, KY",https://www.lfpl.org/,http://pac.lfpl.org/polaris/,Polaris,2005,DRA,1988,,,,,,,,,,,None,,,,RFID,,,,,,,,,,HF,,,,,,None,,,,,,,,,,,,,
Toledo - Lucas County Public Library,"Lucas County, OH",https://www.toledolibrary.org/,http://encore.toledolibrary.org/iii/encore,Sierra,2012,Millennium,2005,DRA,1995,The Library Machine,1988,Encore,2011,AquaBrowser Library,2006,,,Research Pro,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Public Library,"Madison, WI",https://www.madisonpubliclibrary.org/,http://www.linkcat.info/cgi-bin/koha/opac-main.pl,Bibliovation,2018,Koha -- LibLime,2009,Dynix,1992,GLIS,1985,,,,,None,,,,Drupal,,,,Envisionware,,ProQuest - Syndetic Solutions,,,,,,,,,,,,,,,,,,Envisionware,,,,,,,
Public Library of Youngstown and Mahoning County,"Mahoning County, OH",https://www.libraryvisit.org/,http://catalog.libraryvisit.org/,Sierra,2013,Millennium,2002,INLEX/3000,1985,CLSI,1975,BiblioCore,2018,Encore,2012,,,,,BiblioWeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin County Free Library,"Marin County, CA",https://marinlibrary.org/,http://marinet.lib.ca.us/,Sierra,2011,Millennium,2000,PLUS,1993,CLSI,1974,BiblioCore,2016,Encore,2011,,,,,,,,,,,,,,,,,,,CONTENTdm,,,,,,,,,,,,,,,,,
Charlotte Mecklenburg Library,"Mecklenburg County, NC",https://www.cmlibrary.org/,https://cmlibrary.bibliocommons.com,Horizon,2005,Dynix,1989,,,,,BiblioCore,2015,AquaBrowser Library,2009,,,,,,,Barcode,,Tech Logic,,,,,,CircIT,,,,,,,,,,Lyngsoe LibraryMate,,,,,,,,,,,
Memphis Public Library and Information Center,"Memphis, TN",https://www.memphislibrary.org/,http://mpub.ent.sirsi.net/client/en_US/mplic,Symphony,2005,DRA,1989,GLIS,1978,,,Enterprise,2012,,,,,,,WordPress,,Barcode,,,,Enterprise,,,,3M SelfCheck System V-Series,,,,CONTENTdm,,,,,,,,,,,,,,,,,
Mesa Public Library,"Mesa, AZ",https://www.mesalibrary.org/,http://cat.mesalibrary.org/polaris/,Polaris,2009,Horizon,2005,Dynix,1994,DOBIS,1988,Vega Discover,2021,,,,,,,,,RFID,,Bibliotheca,,,,,,Bibliotheca Self Check 1000,,HF,,,,,,,,Bibliotheca,,,,Bibliotheca,,,,,,,
Miami-Dade Public Library System,"Miami - Dade County, FL",https://www.mdpls.org/,http://www.mdpls.org/catalog/redirect.asp,Polaris,2009,Horizon,2002,Dynix,1995,,,Vega Discover,2023,AquaBrowser Library,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Public Library - Central Library,"Milwaukee, WI",https://www.mpl.org/,http://countycat.mcfls.org/search/,Sierra,2013,Millennium,2000,Innopac,1995,Locally developed,1975,Encore,,,,,,,,,,RFID,,Bibliotheca,,,,,,Bibliotheca,,,,CONTENTdm,,,,EBSCO ERM Essentials,,Vista Sort,,,,,,,,,,,
Montgomery County Public Libraries,"Montgomery County, MD",https://www.montgomerycountymd.gov/library/,https://mcpl.aspendiscovery.org/,Koha -- ByWater Solutions,2021,Symphony,1999,Carl,1988,SCICON,1980,Aspen Discovery -- ByWater Solutions,2021,Enterprise,2011,None,,,,,,Barcode,,,,,,,,Bibliotheca 500,,HF,,,,,,,,,,,,,,,,,,,
Multnomah County Library,"Multnomah County, OR",https://multcolib.org/,https://multcolib.bibliocommons.com/,Symphony,2017,Sierra,2012,Millennium,2004,Dynix,1988,BiblioCore,2012,,,,,,,,,RFID,,Bibliotheca,,,,,,Express Lane,,HF,,,,,,360 Resource Manager,,,,,,,,,,,,,
Nashville Public Library,"Nashville and Davidson County, TN",https://library.nashville.org/,http://catalog.library.nashville.org,Carl.X,2016,Millennium,2001,Innopac,1993,None,,Aspen Discovery -- ByWater Solutions,2020,VuFind -- Pika,2014,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Haven Free Public Library,"New Haven, CT",https://nhfpl.org/,http://encore.nhfpl.org/iii/encore/?lang=eng,Sierra,2014,Millennium,1994,Innopac,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Public Library,"New Orleans, LA",https://nolalibrary.org/,http://neworleans.polarislibrary.com,Polaris,2012,Horizon,2002,Dynix,1988,DataPhase,1981,,,,,,,,,,,,,Envisionware,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Public Library,"New York, NY",https://www.nypl.org/,http://browse.nypl.org/,Sierra,2014,Millennium,2008,Dynix,1994,TOMUS,1984,Encore,2015,BiblioCore,2011,Locally developed,1973,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark Public Library,"Newark, NJ",https://www.npl.org/,http://catalog.npl.org/search,Sierra,2017,Millennium,2005,Dynix,1990,None,,,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport Beach Public Library,"Newport Beach, CA",https://www.newportbeachlibrary.org/,http://millennium.newport.lib.ca.us/,Symphony,2019,Millennium,2007,Horizon,2001,Dynix,1987,,,SOPAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport News Public Library,"Newport News, VA",https://library.nnva.gov,https://nnpls.tlcdelivers.com/,Library.Solution,2020,Virtua,2001,VTLS,1983,None,,,,,,,,,,Plone,,RFID,,,,,,,,,,HF,,CONTENTdm,,,,,,,,,,,,,,,,,
Oakland Public Library,"Oakland, CA",https://oaklandlibrary.org/,http://catalog.oaklandlibrary.org/,Sierra,2013,Millennium,2006,Dynix,1989,None,,BiblioCore,2020,,,,,,,BiblioWeb,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean County Library,"Ocean County, NJ",https://theoceancountylibrary.org/,http://pac.theoceancountylibrary.org/polaris/,Polaris,2008,Horizon,2002,Dynix,1987,,,Vega Discover,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Metropolitan Library System,"Oklahoma City, OK",https://www.metrolibrary.org/,https://catalog.metrolibrary.org/,Carl.X,2013,Locally developed,1985,,,,,,,,,,,,,Library Market,,RFID,,Bibliotheca-ITG,,LibraryThing for Libraries,,,,mkSolutions,,HF,,,,,,,,"Bibliotheca, mkSolutions",,,,,,,,,,,
Omaha Public Library,"Omaha, NE",https://omahalibrary.org/,https://omahalibrary.org/catalog/,Sierra,2014,Millennium,2011,Horizon,1999,Dynix,1990,BiblioCore,2012,,,None,,None,,Joomla,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Library System,"Orange County, FL",https://www.ocls.info/,,Sierra,2011,Millennium,2003,DRA,1996,Locally developed,1974,,,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Ottawa Public Library,"Ottawa, ON",https://biblioottawalibrary.ca/,https://ottawa.bibliocommons.com/,Symphony,2009,Horizon,2001,DRA,1989,Ulisys,1980,BiblioCore,,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Palm Beach County Library System,"Palm Beach County, FL",http://www.pbclibrary.org/,http://pbcls.ent.sirsi.net/client/en_US/pbcls/,Symphony,2003,DRA,1988,DataPhase,1981,None,,BiblioCore,2022,Enterprise,,,,,,BiblioWeb,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Palo Alto City Library,"Palo Alto, CA",https://library.cityofpaloalto.org/,https://paloalto.bibliocommons.com/search,Sierra,2015,Horizon,2004,Dynix,1985,,,BiblioCore,2017,,,,,,,BiblioWeb,,RFID,,Bibliotheca,,,,,,3M SelfCheck System Model 8420,,HF,,CONTENTdm,,,,,,EnvisionWare Modular Sorter,,,,,,,,,,,
Pasadena Public Library,"Pasadena, CA",https://www.cityofpasadena.net/library/,https://pasadena.ent.sirsi.net/client/en_US/default,Symphony,2020,Sierra,2014,Horizon,2004,Advance,1995,Enterprise,2020,Encore,2014,GLIS,1981,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Library of Philadelphia,"Philadelphia, PA",https://www.freelibrary.org,http://know.freelibrary.org,Symphony,2004,DRA,1995,CLSI,1985,,,VuFind,2015,AquaBrowser Library,,,,WebFeat PRISM,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Phoenix Public Library,"Phoenix, AZ",https://www.phoenixpubliclibrary.org,https://catalog.phoenixpubliclibrary.org/,Polaris,2007,Carl,1999,Dynix,1994,CLSI,1987,,,,,ULYSIS,1977,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Pierce County Library System,"Pierce County, WA",https://www.piercecountylibrary.org/,http://polariscatalog.piercecountylibrary.org/polaris,Polaris,2004,Dynix,1990,GLIS,1984,,,,,,,,,,,,,Barcode,,,,ChiliFresh,,,,Polaris ExpressCheck,,,,,,,,,,,,,,,,,,,,,
Joel D Valdez Main Library,"Pima County, AZ",https://www.library.pima.gov/catalog/,http://librarycatalog.pima.gov/,Sierra,2016,Millennium,1998,Innopac,1995,CLSI,1974,BiblioCore,,,,,,,,BiblioWeb,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Library System,"Pioneer Region, OK",https://pioneerlibrarysystem.org/,https://pion.ent.sirsi.net/client/en_US/MAIN/,Symphony,2010,Horizon,2000,Dynix,1993,None,,Enterprise,,,,,,,,Joomla,,RFID,,,,Enterprise,,,,Envisionware,,,,,,,,,,EnvisionWare Modular Sorter,,,,,,,,,,,
Carnegie Library of Pittsburgh,"Pittsburgh, PA",https://www.carnegielibrary.org/,http://librarycatalog.einetwork.net/,Sierra,2013,Millennium,2006,DRA,1994,,,BiblioCore,2022,VuFind,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Public Library,"Portland, ME",https://www.portlandlibrary.com/,http://catalog.portland.lib.me.us/search,Sierra,2014,Millennium,2005,Innopac,1995,CLSI,1985,BiblioCore,,,,,,,,,,RFID,,3M,,LibraryThing for Libraries,,,,,,HF,,,,,,,,,,,,,,,,,,,
Prince George's County Memorial Library System,"Prince George's County, MD",https://www.pgcmls.info/,http://catalog.pgcmls.info/Polaris/,Polaris,2008,PLUS,1982,,,,,,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Public Library,"Providence, RI",https://www.provlib.org/,http://catalog.oslri.net/,Koha -- ByWater Solutions,2022,Sierra,2013,Millennium,2005,Horizon,2003,Aspen Discovery -- ByWater Solutions,2022,Encore,,Dynix,1991,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Pueblo City-County Library District,"Pueblo, CO",https://www.pueblolibrary.org/,https://catalog.pueblolibrary.org,Koha -- ByWater Solutions,2018,Symphony,2003,DRA,1993,Locally developed,1979,Aspen Discovery -- ByWater Solutions,2019,BiblioCore,2013,None,,,,Drupal,,RFID,,Bibliotheca,,,,,,Bibliotheca,,,,CONTENTdm,,,,,,,,,,,,,,,,,
Queens Borough Public Library,"Queens Borough, NY",https://www.queenslibrary.org/,http://www.queenslibrary.org/,Symphony,2021,Virtua,2008,DRA,1989,OTHER,1979,Enterprise,2021,Locally Developed,,,,WebFeat PRISM,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Anythink Wright Farms,Rangeview Library District,https://www.anythinklibraries.org/,http://catalog.anythinklibraries.org,OCLC Wise,2018,Horizon,2004,Dynix,1984,,,,,VuFind -- Pika,2012,,,,,Drupal,,RFID,,Envisionware,,,,,,OneStop,,,,,,,,,,EnvisionWare Modular Sorter,,,,,,,,,,,
Redwood City Public Library,"Redwood City, CA",https://www.redwoodcity.org/departments/library,http://catalog.plsinfo.org/,Sierra,2013,Dynix,1994,GLIS,1983,,,BiblioCore,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regina Central Library,"Regina, Saskatchewan",https://www.reginalibrary.ca/,https://www.reginalibrary.ca/search,Polaris,2015,Sierra,2011,Millennium,2009,Horizon,2002,Locally Developed,2015,EBSCO Discovery Service,2014,Dynix,1994,,,Drupal,,Barcode,,,,Syndetics Unbound,,Polaris,2015,3M SelfCheck System V-Series,,,,,,,,,,,,,,,,,,EBSCO Discovery Service,2014,,
Richland Library,"Richland County, SC",https://www.richlandlibrary.com/,https://www.richlandlibrary.com/,Polaris,2013,Horizon,1999,Dynix,1984,,,,,,,,,,,Drupal,,RFID,,Bibliotheca,,NoveList Select,,,,,,HF,,,,,,,,,,,,,,,,,,,
Richmond Public Library,"Richmond, VA",https://rvalibrary.org/,http://ibistro.ci.richmond.va.us/uhtbin/cgisirsi/x/0/0/49/,Symphony,2003,DRA,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester Public Library,"Rochester, MN",https://www.rplmn.org/,http://catalog.rochesterpubliclibrary.org/,Symphony,2003,DRA,1984,,,,,Enterprise,,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Central Library of Rochester and Monroe County,"Rochester, NY",https://libraryweb.org/,http://www.rochester.lib.ny.us:2080/cgi-bin/cw_cgi?5000+REDIRX+setDatabase_720,Carl.X,2011,Carl,1993,GLIS,1983,,,LS2 PAC,2010,AquaBrowser Library,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Public Library,"Sacramento, CA",https://www.saclibrary.org/,https://catalog.saclibrary.org/Union/,Sierra,2011,Millennium,1999,PLUS,1983,,,VuFind -- Pika,2018,,,,,,,Kentico,,RFID,,Envisionware,,,,EBSCO Discovery Service,2016,Express Lane,,,,CONTENTdm,,,,,,EnvisionWare Modular Sorter,,,,,,,,Encore,,,
Public Libraries of Saginaw,"Saginaw, MI",https://www.saginawlibrary.org/,http://valcat.vlc.lib.mi.us/ipac20/ipac.jsp?menu=search&profile=sge,Horizon,2004,Dynix,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph County Public Library,"Saint Joseph County, IN",https://sjcpl.org/,http://sjcpl.bibliocommons.com/,Sierra,2011,Millennium,2004,Innopac,1995,PLUS,1982,BiblioCore,2014,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Saint Louis County Library,"Saint Louis County, MO",https://www.slcl.org/,http://webpac.slcl.org,Polaris,2022,Sierra,2017,Millennium,1999,,,Vega Discover,2022,Encore,2010,,,,,,,RFID,,Bibliotheca-ITG,,,,,,Express Lane,,HF,,,,,,,,Lyngsoe LibraryMate,,,,,,,,,,,
Saint Louis Public Library,"Saint Louis, MO",https://www.slpl.org/,https://slpl.bibliocommons.com/,Polaris,2021,Symphony,2010,DRA,1998,Locally developed,1988,BiblioCore,2016,,,,,,,BiblioWeb,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Paul Public Library,"Saint Paul, MN",https://sppl.org/,https://sppl.bibliocommons.com/search,Sierra,2011,Millennium,1999,PLUS,1986,,,BiblioCore,2019,AquaBrowser Library,,,,360 Search,,BiblioWeb,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt Lake City Public Library,"Salt Lake City, UT",https://services.slcpl.org,http://catalog.slcpl.org/,Polaris,2013,Millennium,2002,Innopac,1995,PLUS,1985,,,,,,,,,,,RFID,,,,,,,,Bibliotheca,,HF,,,,,,,,Lyngsoe and 3M,,,,,,,,,,,
Salt Lake County Library System,"Salt Lake County, UT",https://www.slcolibrary.org/index.htm,http://catalog.slcolibrary.org,Polaris,2013,Horizon,2004,Dynix,1990,CLSI,1983,,,,,,,,,,,RFID,,Tech Logic,,ChiliFresh,,,,CircIT 2011,,HF,,,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,,,,,,
San Antonio Public Library,"San Antonio, TX",https://www.mysapl.org/,https://mysapl.bibliocommons.com/,Symphony,2019,Millennium,2004,Carl,1995,PLUS,1983,BiblioCore,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego County Library,"San Diego County, CA",https://www.sdcl.org/,https://sdcl.bibliocommons.com/,Polaris,2020,Millennium,2003,DRA,1992,Ulisys,1984,BiblioCore,2020,Encore,2009,,,MetaFind,,,,RFID,,,,,,,,,,HF,,,,None,,None,,,,,,,,,,,,,
San Diego Public Library,"San Diego, CA",https://www.sandiego.gov/public-library,https://sandiego.bibliocommons.com/,Polaris,2019,Symphony,2007,DRA,1991,Ulisys,1984,BiblioCore,2015,,,,,,,Drupal,,RFID,,,,,,,,,,HF,,CONTENTdm,,,,,,Lyngsoe LibraryMate,,,,,,,,,,,
San Francisco Public Library,"San Francisco, CA",https://sfpl.org/,https://sfpl.bibliocommons.com/,Sierra,2013,Millennium,2003,DRA,1992,CLSI,1980,BiblioCore,2014,,,,,,,,,Barcode,,,,,,Ex Libris CDI,2013,,,,,,,,,,,,,,,,,,,,,,
San Jose Public Library,"San Jose, CA",https://www.sjpl.org/,http://discover.sjlibrary.org/,Sierra,2013,Millennium,1999,Horizon,1995,PLUS,1990,BiblioCore,2019,Encore,2012,SCICON,1981,,,,,RFID,,,,,,,,,,,,,,,,Electronic Resource Management,,,,,,,,,,,,,
San Luis Obispo City-County Library,"San Luis Obispo County, CA",https://www.slolibrary.org/,http://www.blackgold.org/search/,Koha -- ByWater Solutions,2022,Polaris,2008,Carl.X,2006,Millennium,2000,Aspen Discovery -- ByWater Solutions,2021,AquaBrowser Library,,Dynix,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo County Library,"San Mateo County, CA",https://smcl.org/,http://catalog.plsinfo.org/,Sierra,2013,Dynix,1994,GLIS,1983,,,BiblioCore,2013,,,,,,,BiblioCMS,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Santa Clara County Library District,"Santa Clara County, CA",https://sccld.org/,https://sccl.bibliocommons.com/,Horizon,2016,Sierra,2014,Horizon,2002,Dynix,1991,BiblioCore,2015,,,,,,,,,RFID,,,,,,EBSCO Discovery Service,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara Public Library,"Santa Clara, CA",https://www.sclibrary.org/home-library,http://www.sccl.ci.santa-clara.ca.us/,Sierra,2015,Millennium,2000,Innopac,1992,Locally developed,1982,BiblioCore,2018,Encore,2015,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Scottsdale Public Library System,"Scottsdale, AZ",https://www.scottsdalelibrary.org/,http://scottsdale.polarislibrary.com,Polaris,2014,Sierra,2011,Millennium,2004,DRA,1986,,,,,,,,,,,Barcode,,,,,,,,3M SelfCheck System V-Series,,,,Polaris Fusion,,,,,,3M Sortation,,,,,,,,,,,
Seattle Public Library,"Seattle, WA",https://www.spl.org/,http://seattle.bibliocommons.com/,Horizon,2004,Dynix,1991,DRA,1986,None,,BiblioCore,2010,,,,,360 Search,,Ingeniux,,RFID,,Tech Logic,,,,,,,,HF,,CONTENTdm,,360 Link,2008,,,Tech Logic -- Automated Sorting Technologies,,,,TAGSYS,,,,,,None,
Skokie Public Library,"Skokie, IL",https://skokielibrary.info/,http://discover.skokielibrary.info,Sierra,2011,Millennium,2001,Dynix,1999,GLIS,1984,BiblioCore,2017,Encore,2011,,,,,,,RFID,,3M,,,,,,3M SelfCheck System V-Series,,HF,,,,,,,,,,,,,,,,,,,
Sno-Isle Libraries,"Sno-Isle Region, WA",https://www.sno-isle.org,http://www.sno-isle.org/?ID=1169,Polaris,2010,Carl,1990,GLIS,1983,None,,BiblioCore,2016,AquaBrowser Library,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano County Library,"Solano County, CA",https://solanolibrary.com/,http://snapweb.snap.lib.ca.us/cgi-bin/cw_cgi?10000+REDIRX+useDatabase_240,Polaris,2022,Carl.X,2015,Carl,1991,,,,,LS2 PAC,2011,,,,,,,RFID,,Bibliotheca,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville Public Library,"Somerville, MA",https://www.somervillepubliclibrary.org/,http://library.minlib.net/search/,Sierra,2013,Millennium,2003,DRA,1991,CLSI,1984,Encore,2011,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield City Library,"Springfield, MA",https://www.springfieldlibrary.org/library/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022,Evergreen -- Independent,2012,Millennium,1999,Carl,1992,,,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Stark Library - Main Library,"Stark County, OH",https://www.starklibrary.org/,http://catalog.starklibrary.org,Sierra,2011,Millennium,2007,Dynix,1995,CLSI,1981,Encore,2007,,,,,,,,,Barcode,,,,,,,,3M SelfCheck System V-Series,,,,,,,,,,,,,,,,,,,,,
Cesar Chavez Central Library,"Stockton-San Joaquin County, CA",https://www.ssjcpl.org/,https://stks.ent.sirsi.net/client/en_US/ssjcpl/,Symphony,2003,DRA,1985,,,,,Enterprise,,,,,,,,Locally Developed,,Barcode,,,,,,EBSCO Discovery Service,,Xpress Check,,,,,,,,,,,,,,,,,,,,,
Akron-Summit County Public Library,"Summit County, OH",https://www.akronlibrary.org/,https://catalog.akronlibrary.org/,Sierra,2013,Millennium,2007,Dynix,1997,The Library Machine,1988,Encore,2007,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyvale Public Library,"Sunnyvale, CA",https://sunnyvale.ca.gov/community/library/default.htm,http://catalog.sunnyvalelibrary.org,Sierra,2014,Millennium,2004,INLEX/3000,1986,None,,BiblioCore,2019,Encore,2010,,,Research Pro,,,,RFID,,Bibliotheca,,,,,,Bibliotheca-ITG,,HF,,,,,,,,Bibliotheca-ITG,,,,,,,,,,,
Tacoma Public Library,"Tacoma, WA",https://www.tacomalibrary.org/,https://tacoma.bibliocommons.com/,Sierra,2014,Millennium,2011,Symphony,2002,Alice-B,1982,BiblioCore,2015,,,,,WebFeat PRISM,,BiblioCMS,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Topeka and Shawnee County Public Library,"Topeka, KS",https://tscpl.org/,http://catalog.tscpl.org/,Polaris,2011,Horizon,2002,Dynix,1991,,,BiblioCore,2016,,,,,,,WordPress,,RFID,,Bibliotheca,,,,,,3M SelfCheck System V-Series,,HF,,CONTENTdm,,,,,,Tech Logic -- Automated Sorting Technologies,,,,,,ArchivesSpace,,,,,
Toronto Public Library,"Toronto, ON",https://www.torontopubliclibrary.ca/,http://torontopubliclibrary.ca/,Symphony,2007,Dynix,1999,,,,,Endeca,2008,,,,,360 Search,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Torrance Public Library,"Torrance, CA",https://www.library.torranceca.gov/home-library,https://torrance.polarislibrary.com/polaris/default.aspx,Polaris,2021,Symphony,2002,Taos,2000,DRA,1990,Vega Discover,2021,Enterprise,2016,CLSI,1982,,,,,Barcode,,,,,,,,3M SelfCheck System Model 6410,,,,,,,,,,,,,,,,,,,,,
Tulare County Public Library,"Tulare County, CA",https://www.tularecountylibrary.org/,http://hip1.sjvls.org/ipac20/load.jsp?profile=thq,Horizon,2003,Dynix,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa City - County Library,"Tulsa, OK",https://www.tulsalibrary.org/,https://tccl.bibliocommons.com/,Sierra,2013,Millennium,1998,NOTIS,1983,,,BiblioCore,2012,,,,,,,Drupal,,RFID,,3M,,NoveList Select,,,,Envisionware,,,,CONTENTdm,,WebBridge,,,,,,,,,,,,,,,
Tuscaloosa Public Library,"Tuscaloosa, AL",https://www.tuscaloosa-library.org/,http://innopac.tuscaloosa-library.org/,Sierra,2014,Millennium,2005,Innopac,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
