names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,location,area,competitiveness,google,google_analytics,facebook,electoral_level_3
Wendell Major,Alabama,Attorney General,State,Executive,https://ballotpedia.org/Wendell_Major,https://wendellmajor.com/,,,,Democratic Party,Lost,"1,307,653","424,718",0.325,29,5,0,0,15,0,0,0,9,,,0.175,0,6,0,State
Kris Mayes,Arizona,Attorney General,State,Executive,https://ballotpedia.org/Kris_Mayes,https://www.krismayes.com,krismayes,,,Democratic Party,Won,"2,512,390","1,254,809",0.499,19,11,0,0,4,0,0,0,4,,,0.001,0,0,0,State
Jessica Kordas,Connecticut,Attorney General,State,Executive,https://ballotpedia.org/Jessica_Kordas,https://www.jessicakordas2022.com/,Jkordas2022,,,Republican Party,Lost,"1,215,234","508,753",0.419,3,0,0,0,3,0,0,0,0,,,0.081,0,0,0,State
Julianne Murray,Delaware,Attorney General,State,Executive,https://ballotpedia.org/Julianne_Murray,https://murrayfordelaware.com,murray4de,,,Republican Party,Lost,"319,156","147,353",0.462,1,0,0,0,1,0,0,0,0,,,0.038,0,0,0,State
Aramis Ayala,Florida,Attorney General,State,Executive,https://ballotpedia.org/Aramis_Ayala,https://www.aramisayala.com/,AramisAyalaFL,,,Democratic Party,Lost,"7,016,437","2,788,438",0.397,6,0,0,0,1,0,0,0,5,,,0.103,5,0,0,State
Raúl Labrador,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Raul_Labrador,http://labrador2022.com/,RaulLabrador4ID,,Raul_Labrador,Republican Party,Won,"583,610","365,061",0.626,42,14,4,0,4,0,0,0,20,,,0.126,0,0,0,State
Tom Arkoosh,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Tom_Arkoosh,https://www.arkooshforag.com/,ArkooshForAG,,,Democratic Party,Lost,"583,610","218,549",0.374,47,25,7,0,4,0,0,0,11,,,0.126,0,0,0,State
Thomas DeVore,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Thomas_DeVore,https://www.tomdevore.com/,,,,Republican Party,Lost,"3,782,932","1,662,788",0.44,31,9,6,1,5,0,0,0,10,,,0.06,3,4,0,State
Dan Robin,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Dan_Robin,https://danrobin4ag.org/,,,,Libertarian Party,Lost,"3,782,932","84,394",0.022,8,5,0,0,3,0,0,0,0,,,0.478,0,0,0,State
Kris Kobach,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Kris_Kobach,https://kriskobach.com/,KrisKobach1787,,,Republican Party,Won,"965,214","494,021",0.512,5,2,3,0,0,0,0,0,0,,,0.012,0,0,0,State
Chris Mann,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Chris_Mann_(Kansas),https://www.chrismannforkansas.com/,chrismannks,,,Democratic Party,Lost,"965,214","471,193",0.488,92,13,4,0,27,4,0,0,44,,,0.012,12,4,16,State
Michael Anthony Peroutka,Maryland,Attorney General,State,Executive,https://ballotpedia.org/Michael_Anthony_Peroutka,https://patriots4peroutka.com,Patriots4Perou1,,,Republican Party,Lost,"1,467,148","586,423",0.4,27,8,0,0,14,0,0,0,5,,,0.1,0,0,0,State
Andrea Campbell,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/Andrea_Joy_Campbell,https://www.andreacampbell.org/,AndreaForAG,,,Democratic Party,Won,"1,981,739","1,241,298",0.626,305,34,2,0,120,2,0,2,145,,,0.126,13,3,5,State
James McMahon,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/James_McMahon,https://www.attorneyjaymcmahon.com/,attorneymcmahon,,,Republican Party,Lost,"1,981,739","740,441",0.374,95,12,2,0,5,0,0,0,76,,,0.126,0,0,0,State
Matthew DePerno,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Matthew_DePerno,https://www.depernoformi.com/,deperno4mi,,mdeperno,Republican Party,Lost,"4,375,821","1,948,525",0.445,41,12,0,0,11,0,0,0,18,,,0.055,4,4,1,State
Joe McHugh,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Joe_McHugh,https://libertystrikesback.com/,votejoemchugh,,,Libertarian Party,Lost,"4,375,821","67,826",0.016,97,11,6,1,6,0,1,0,72,,,0.484,0,0,0,State
Larry Bolinger,Nebraska,Attorney General,State,Executive,https://ballotpedia.org/Larry_Bolinger,https://larrybolinger.com,Bolinger_Larry,,,Legal Marijuana Now Party,Lost,"575,164","173,177",0.301,4,2,0,0,1,0,0,0,1,,,0.199,0,0,0,State
Sigal Chattah,Nevada,Attorney General,State,Executive,https://ballotpedia.org/Sigal_Chattah,https://chattah4nevada.com/,Chattah4Nevada,,chattahlaw,Republican Party,Lost,"960,042","426,202",0.444,1,0,0,0,1,0,0,0,0,,,0.056,0,0,0,State
Raul Torrez,New Mexico,Attorney General,State,Executive,https://ballotpedia.org/Raul_Torrez,https://www.raultorrez.com/,TorrezforNM,,,Democratic Party,Won,"700,128","386,862",0.553,3,0,0,0,3,0,0,0,0,,,0.053,0,0,0,State
Gentner Drummond,Oklahoma,Attorney General,State,Executive,https://ballotpedia.org/Gentner_Drummond,https://drummondok.com,,,,Republican Party,Won,"1,065,887","787,385",0.739,26,4,0,0,1,3,0,0,18,,,0.239,9,0,6,State
Charles Calenda,Rhode Island,Attorney General,State,Executive,https://ballotpedia.org/Charles_Calenda,https://chas4ag.com/,CharlesCalenda,,,Republican Party,Lost,"348,331","134,210",0.385,38,8,1,0,6,0,0,0,23,,,0.115,13,10,0,State
Rochelle Garza,Texas,Attorney General,State,Executive,https://ballotpedia.org/Rochelle_Garza,https://www.rochellegarzafortexas.com,RochelleMGarza,,,Democratic Party,Lost,"7,189,286","3,071,932",0.427,73,22,1,0,21,0,0,0,29,,,0.073,0,0,0,State
Charity Clark,Vermont,Attorney General,State,Executive,https://ballotpedia.org/Charity_Clark,https://www.charityforvermont.com/,CharityForVT,,,Democratic Party,Won,"274,019","178,093",0.65,20,13,0,0,3,0,0,0,4,,,0.15,0,0,0,State
Yolanda Flowers,Alabama,Governor,State,Executive,https://ballotpedia.org/Yolanda_Flowers,https://www.yolandaforgovernor.org/,Yolandaforgov,,,Democratic Party,Lost,"1,402,367","411,690",0.294,1,0,0,0,1,0,0,0,0,,,0.206,0,0,0,State
Les Gara,Alaska,Governor,State,Executive,https://ballotpedia.org/Les_S._Gara,https://www.lesgara.com,Gara_4_Governor,,,Democratic Party,Lost,"263,296","63,755",0.243,2,0,0,0,1,0,0,0,1,,,0.257,0,0,0,State
Charlie Pierce,Alaska,Governor,State,Executive,https://ballotpedia.org/Charlie_Pierce,https://www.charlie-2022.com/,,,,Republican Party,Lost,"263,296","11,786",0.045,3,0,0,0,3,0,0,0,0,,,0.455,0,0,0,State
Kari Lake,Arizona,Governor,State,Executive,https://ballotpedia.org/Kari_Lake,https://www.karilake.com/,KariLake,,,Republican Party,Lost,"2,559,485","1,270,774",0.496,141,17,0,0,32,4,0,0,88,,,0.004,31,25,8,State
Sarah Huckabee Sanders,Arkansas,Governor,State,Executive,https://ballotpedia.org/Sarah_Huckabee_Sanders,https://www.sarahforgovernor.com/,SarahHuckabee,,,Republican Party,Won,"901,813","568,752",0.631,45,19,3,0,4,0,0,0,19,,,0.131,8,5,0,State
Chris Jones,Arkansas,Governor,State,Executive,https://ballotpedia.org/Chris_Jones_(Arkansas),https://www.chrisforgovernor.com,JonesforAR,,cmjones99,Democratic Party,Lost,"901,813","316,445",0.351,64,19,1,0,7,4,0,0,33,,,0.149,8,4,16,State
Ricky Dale Harrington Jr.,Arkansas,Governor,State,Executive,https://ballotpedia.org/Ricky_Dale_Harrington_Jr.,https://www.rickyharrington.com/,RickDHarrington,,,Libertarian Party,Lost,"901,813","16,616",0.018,28,14,2,0,2,0,0,0,10,,,0.482,2,2,0,State
Brian Dahle,California,Governor,State,Executive,https://ballotpedia.org/Brian_Dahle,https://dahle.cssrc.us/,,,,Republican Party,Lost,"5,463,643","2,299,713",0.421,34,10,0,0,4,0,0,0,20,,,0.079,8,12,0,State
Bob Stefanowski,Connecticut,Governor,State,Executive,https://ballotpedia.org/Bob_Stefanowski,https://www.bobforgovernor.com/,bobforgovernor,,,Republican Party,Lost,"1,268,893","546,209",0.43,76,9,0,0,12,0,0,0,55,,,0.07,21,24,0,State
Charlie Crist,Florida,Governor,State,Executive,https://ballotpedia.org/Charlie_Crist,https://charliecrist.com/,CharlieCrist,,,Democratic Party,Lost,"7,758,938","3,100,603",0.4,102,33,19,1,27,2,0,0,20,,,0.1,3,6,8,State
Stacey Abrams,Georgia,Governor,State,Executive,https://ballotpedia.org/Stacey_Abrams,https://staceyabrams.com/,staceyabrams,,,Democratic Party,Lost,"3,953,433","1,813,673",0.459,13,5,0,0,3,0,0,0,5,,,0.041,0,4,0,State
Stephen Heidt,Idaho,Governor,State,Executive,https://ballotpedia.org/Stephen_Heidt,https://www.heidtforgovernor.com,heidtforgov,,,Democratic Party,Lost,"592,603","120,160",0.203,4,0,0,0,4,0,0,0,0,,,0.297,0,0,0,State
Ammon Bundy,Idaho,Governor,State,Executive,https://ballotpedia.org/Ammon_Bundy,https://www.votebundy.com/,RealABundy,,,Independent,Lost,"592,603","101,835",0.172,28,11,1,0,3,0,0,0,13,,,0.328,0,0,0,State
Scott Mitchell Schluter,Illinois,Governor,State,Executive,https://ballotpedia.org/Scott_Mitchell_Schluter,http://scottschluter.com/,scottforliberty,,,Libertarian Party,Lost,"4,104,629","111,712",0.027,8,5,0,0,3,0,0,0,0,,,0.473,0,0,0,State
Rick Stewart,Iowa,Governor,State,Executive,https://ballotpedia.org/Rick_Stewart,https://www.rickstewart.com/,rickstewart,,,Libertarian Party,Lost,"753,832","17,699",0.023,11,7,4,0,0,0,0,0,0,,,0.477,0,0,0,State
Paul LePage,Maine,Governor,State,Executive,https://ballotpedia.org/Paul_LePage,https://govlepage.com/,paullepage2022,,,Republican Party,Lost,"558,685","237,888",0.426,2,1,1,0,0,0,0,0,0,,,0.074,0,0,0,State
Sam Hunkler,Maine,Governor,State,Executive,https://ballotpedia.org/Sam_Hunkler,https://www.standwithsam2022.com/,,,,Independent,Lost,"558,685","10,493",0.019,44,10,0,0,5,0,0,0,29,,,0.481,0,0,0,State
Wes Moore,Maryland,Governor,State,Executive,https://ballotpedia.org/Wes_Moore,https://wesmoore.com/,iamwesmoore,,,Democratic Party,Won,"2,005,223","1,293,944",0.645,21,4,3,0,2,0,0,0,12,,,0.145,8,4,0,State
David Lashar,Maryland,Governor,State,Executive,https://ballotpedia.org/David_Lashar,https://davidlashar.com/,davidlashar,,,Libertarian Party,Lost,"2,005,223","30,101",0.015,42,20,6,1,6,0,0,0,9,,,0.485,0,0,0,State
Geoff Diehl,Massachusetts,Governor,State,Executive,https://ballotpedia.org/Geoff_Diehl,https://geoffdiehl.com/,DiehlForMA,,RepGeoffDiehl,Republican Party,Lost,"1,531,344","531,235",0.347,1,0,0,0,1,0,0,0,0,,,0.153,0,0,0,State
Kevin Reed,Massachusetts,Governor,State,Executive,https://ballotpedia.org/Kevin_Reed_(Massachusetts),https://www.libertycantwait.com/,,,,Libertarian Party,Lost,"1,531,344","23,811",0.016,3,0,0,0,3,0,0,0,0,,,0.484,0,0,0,State
Tudor Dixon,Michigan,Governor,State,Executive,https://ballotpedia.org/Tudor_Dixon,https://www.tudordixon.com/,TeamTudorDixon,,TudorDixon,Republican Party,Lost,"4,461,972","1,960,635",0.439,25,8,0,0,8,0,0,2,7,,,0.061,1,1,0,State
Scott Zimmerman,Nebraska,Governor,State,Executive,https://ballotpedia.org/Scott_Zimmerman,https://www.votezimmerman.com,,,,Libertarian Party,Lost,"672,593","26,455",0.039,455,42,3,1,112,0,0,0,297,,,0.461,16,4,0,State
Joe Lombardo,Nevada,Governor,State,Executive,https://ballotpedia.org/Joe_Lombardo,https://www.joelombardofornv.com,JoeLombardoNV,,,Republican Party,Won,"918,523","456,396",0.497,99,24,3,0,14,0,0,0,58,,,0.003,21,20,0,State
Brandon Davis,Nevada,Governor,State,Executive,https://ballotpedia.org/Brandon_Davis,https://electbrandondavis.com,bdavis4liberty,,,Libertarian Party,Lost,"918,523","12,461",0.014,69,21,2,0,9,4,0,0,33,,,0.486,8,4,16,State
Karen Bedonie,New Mexico,Governor,State,Executive,https://ballotpedia.org/Karen_Bedonie,https://www.karenbedonie.com/,,,,Libertarian Party,Lost,"701,264","17,163",0.024,3,0,0,0,3,0,0,0,0,,,0.476,0,0,0,State
Tina Kotek,Oregon,Governor,State,Executive,https://ballotpedia.org/Tina_Kotek,https://www.tinafororegon.com/,Tina4Oregon,,TinaKotek,Democratic Party,Won,"1,952,883","917,074",0.47,110,5,4,0,26,8,0,0,67,,,0.03,10,12,28,State
Christine Drazan,Oregon,Governor,State,Executive,https://ballotpedia.org/Christine_Drazan,https://christinefororegon.com/,christinedrazan,,,Republican Party,Lost,"1,952,883","850,347",0.435,56,10,2,0,19,0,0,0,25,,,0.065,6,8,0,State
Betsy Johnson,Oregon,Governor,State,Executive,https://ballotpedia.org/Betsy_Johnson,https://runbetsyrun.com/,senbetsyjohnson,,,Democratic Party,Lost,"1,952,883","168,431",0.086,5,2,0,0,3,0,0,0,0,,,0.414,0,0,0,State
Josh Shapiro,Pennsylvania,Governor,State,Executive,https://ballotpedia.org/Josh_Shapiro,https://joshshapiro.org/,JoshShapiroPA,PaAttorneyGen,,Democratic Party,Won,"4,886,153","2,675,536",0.548,96,7,0,0,11,8,0,0,70,,,0.048,23,13,28,State
Doug Mastriano,Pennsylvania,Governor,State,Executive,https://ballotpedia.org/Doug_Mastriano,https://senatormastriano.com/,dougmastriano,SenMastriano,,Republican Party,Lost,"4,886,153","2,122,491",0.434,103,15,4,0,4,0,0,0,80,,,0.066,19,8,0,State
Ashley Kalus,Rhode Island,Governor,State,Executive,https://ballotpedia.org/Ashley_Kalus,https://ashleykalus.com/,AshleyKalus,,,Republican Party,Lost,"350,346","137,404",0.392,12,2,4,0,2,0,0,0,4,,,0.108,4,0,0,State
Joe Cunningham,South Carolina,Governor,State,Executive,https://ballotpedia.org/Joe_Cunningham,https://www.joeforsouthcarolina.com/,JoeCunninghamSC,,,Democratic Party,Lost,"1,244,742","518,222",0.416,3,0,0,0,3,0,0,0,0,,,0.084,0,0,0,State
Jason Martin,Tennessee,Governor,State,Executive,https://ballotpedia.org/Jason_Martin,https://martinfortn.com/,jasonbmartin,,,Democratic Party,Lost,"524,751","125,255",0.239,40,16,4,0,7,0,1,0,12,,,0.261,0,1,0,State
Beto O'Rourke,Texas,Governor,State,Executive,https://ballotpedia.org/Beto_O'Rourke,https://betoorourke.com/,BetoORourke,,,Democratic Party,Lost,"6,287,999","2,716,198",0.432,122,16,0,0,4,4,0,0,98,,,0.068,8,6,16,State
Brenda Siegel,Vermont,Governor,State,Executive,https://ballotpedia.org/Brenda_Siegel,https://www.brendaforvermont.com/,BrendaForVT,,,Democratic Party,Lost,"281,833","67,891",0.241,15,6,2,0,2,0,0,0,5,,,0.259,0,0,0,State
Peter Duval,Vermont,Governor,State,Executive,https://ballotpedia.org/Peter_Duval,https://www.peterforvermont.earth/,PeterForVermont,,,Independent,Lost,"281,833","4,712",0.017,31,7,2,0,2,0,0,0,20,,,0.483,12,8,0,State
Alexander Remrey,Alabama,House,Federal,Legislative,https://ballotpedia.org/Alexander_Remrey,https://www.votealexanderremrey.com/,alexremrey291,,,Libertarian Party,Lost,"166,051","26,197",0.158,3,0,0,0,3,0,0,0,0,Alabama 1st,,0.342,0,0,0,Federal
Phyllis Harvey-Hall,Alabama,House,Federal,Legislative,https://ballotpedia.org/Phyllis_Harvey-Hall,https://www.phyllisforcongress.com/,PhyllisDHHall,,,Democratic Party,Lost,"198,373","57,800",0.291,89,18,3,0,8,4,0,0,56,Alabama 2nd,,0.209,4,9,20,Federal
Douglas Bell,Alabama,House,Federal,Legislative,https://ballotpedia.org/Douglas_Bell,https://dbellforuscongress.com/,,,,Independent,Lost,"190,071","3,826",0.02,43,9,4,0,5,0,0,0,25,Alabama 3rd,,0.48,4,12,0,Federal
Thomas Casson,Alabama,House,Federal,Legislative,https://ballotpedia.org/Thomas_Casson,http://www.sickofdc.com/,,,thomascassonAL,Libertarian Party,Lost,"190,071","3,027",0.016,20,10,0,0,2,0,0,0,8,Alabama 3rd,,0.484,0,0,0,Federal
Johnny C. Cochran,Alabama,House,Federal,Legislative,https://ballotpedia.org/Johnny_C._Cochran,https://www.johnnyccochran4al.com/,JohnnyCCochran,,,Libertarian Party,Lost,"195,305","4,297",0.022,2,0,0,0,2,0,0,0,0,Alabama 4th,,0.478,0,0,0,Federal
P.J. Greer,Alabama,House,Federal,Legislative,https://ballotpedia.org/P.J._Greer,https://www.thevoteforpj.com,thevoteforpj,,,Libertarian Party,Lost,"211,194","6,740",0.032,7,3,0,0,4,0,0,0,0,Alabama 5th,,0.468,0,0,0,Federal
Beatrice Nichols,Alabama,House,Federal,Legislative,https://ballotpedia.org/Beatrice_Nichols,https://www.bfor7thdistrict.com/,NicholsCongress,,,Republican Party,Lost,"195,620","67,353",0.344,78,18,0,0,7,0,0,0,53,Alabama 7th,,0.156,0,0,0,Federal
Jevin Hodge,Arizona,House,Federal,Legislative,https://ballotpedia.org/Jevin_Hodge,https://jevinhodge.com,,,JevinHodge,Democratic Party,Lost,"358,742","177,867",0.496,59,10,2,0,9,0,0,0,38,Arizona 1st,,0.004,4,6,0,Federal
Jeffrey Zink,Arizona,House,Federal,Legislative,https://ballotpedia.org/Jeffrey_Zink,https://jeffzinkforcongress.com/,realJeffZink,,,Republican Party,Lost,"90,723","21,663",0.239,53,13,4,0,6,0,0,0,30,Arizona 3rd,,0.261,2,0,0,Federal
Javier Garcia Ramos,Arizona,House,Federal,Legislative,https://ballotpedia.org/Javier_Garcia_Ramos,https://www.ramosaz.com/,RamosAZ5,,,Democratic Party,Lost,"321,590","120,243",0.374,41,21,2,0,6,0,0,0,12,Arizona 5th,,0.126,0,0,0,Federal
Kirsten Engel,Arizona,House,Federal,Legislative,https://ballotpedia.org/Kirsten_Engel,https://www.engelforarizona.com/,EngelForArizona,,,Democratic Party,Lost,"349,283","171,969",0.492,47,9,0,0,5,0,0,0,33,Arizona 6th,,0.008,0,0,0,Federal
Luis  Pozzolo,Arizona,House,Federal,Legislative,https://ballotpedia.org/Luis_Pozzolo,https://luis.vote/,Luis4congress,,,Republican Party,Lost,"121,809","43,927",0.361,44,18,5,0,2,0,0,0,19,Arizona 7th,,0.139,1,0,0,Federal
Monte Hodges,Arkansas,House,Federal,Legislative,https://ballotpedia.org/Monte_Hodges,https://www.monteforcongress.org/,MonteforAR,,hodgesmonte1,Democratic Party,Lost,"204,516","52,614",0.257,17,14,1,0,0,0,0,0,2,Arkansas 1st,,0.243,0,0,0,Federal
Quintessa Hathaway,Arkansas,House,Federal,Legislative,https://ballotpedia.org/Quintessa_Hathaway,https://www.quintessahathaway.com/,DrQHathaway,,,Democratic Party,Lost,"245,778","86,540",0.352,62,13,2,0,7,0,0,0,40,Arkansas 2nd,,0.148,0,0,0,Federal
Michael White,Arkansas,House,Federal,Legislative,https://ballotpedia.org/Michael_White_(Arkansas),https://mw4liberty.com/,MW4Liberty,,,Libertarian Party,Lost,"245,778","11,562",0.047,12,4,4,1,3,0,0,0,0,Arkansas 2nd,,0.453,0,0,0,Federal
Lauren Mallett-Hays,Arkansas,House,Federal,Legislative,https://ballotpedia.org/Lauren_Mallett-Hays,https://www.laurenforarkansas.com/,Lauren4Arkansas,,,Democratic Party,Lost,"222,827","73,242",0.329,3,0,0,0,3,0,0,0,0,Arkansas 3rd,,0.171,0,0,0,Federal
Gregory Maxwell,Arkansas,House,Federal,Legislative,https://ballotpedia.org/Gregory_Maxwell,https://gregorymaxwellforuscongress.com/,GregoryMaxwell,,,Libertarian Party,Lost,"216,185","6,078",0.028,5,3,0,0,2,0,0,0,0,Arkansas 4th,,0.472,0,0,0,Federal
Max Steiner,California,House,Federal,Legislative,https://ballotpedia.org/Max_Steiner,https://maxsteinerforcongress.com/,MaxSteinerCA,,heraldmax,Democratic Party,Lost,"137,924","55,979",0.406,45,18,0,0,6,0,0,0,21,California 1st,,0.094,9,12,0,Federal
Douglas Brower,California,House,Federal,Legislative,https://ballotpedia.org/Douglas_Brower,http://04861d0.wcomhost.com/,,,,Republican Party,Lost,"133,236","37,424",0.281,6,1,0,0,5,0,0,0,0,California 2nd,,0.219,0,0,0,Federal
Kermit Jones,California,House,Federal,Legislative,https://ballotpedia.org/Kermit_Jones,https://www.kermitjonesforcongress.com/,DrKermitJones,,,Democratic Party,Lost,"293,478","137,009",0.467,22,11,0,0,3,0,0,0,8,California 3rd,,0.033,4,0,0,Federal
Matt Brock,California,House,Federal,Legislative,https://ballotpedia.org/Matt_Brock,https://www.brock4congress.com/,,,,Republican Party,Lost,"129,979","42,040",0.323,38,12,0,0,6,0,0,0,20,California 4th,,0.177,4,8,0,Federal
Tamika Hamilton,California,House,Federal,Legislative,https://ballotpedia.org/Tamika_Hamilton,https://votetamika.org/,TamikaGHamilton,,,Republican Party,Lost,"121,850","52,943",0.434,12,2,0,0,2,0,0,0,8,California 6th,,0.066,4,4,0,Federal
Max Semenenko,California,House,Federal,Legislative,https://ballotpedia.org/Max_Semenenko,https://max.vote/,,,,Republican Party,Lost,"68,426","23,473",0.343,17,9,0,0,4,0,0,0,4,California 7th,,0.157,0,0,0,Federal
Rudy Recile,California,House,Federal,Legislative,https://ballotpedia.org/Rudy_Recile,https://www.rudyforuscongress.com,Rudy4USCongress,,,Republican Party,Lost,"109,134","27,878",0.255,44,16,6,0,6,0,0,0,16,California 8th,,0.245,0,3,0,Federal
Michael Ernest Kerr,California,House,Federal,Legislative,https://ballotpedia.org/Michael_Ernest_Kerr,https://www.kerr2020.com/,MEKPeaceJustice,,mekorganic,Green Party,Lost,"145,094","29,774",0.205,49,4,0,0,12,0,0,2,31,California 10th,,0.295,0,12,0,Federal
John Dennis,California,House,Federal,Legislative,https://ballotpedia.org/John_Dennis_(California),https://www.johndennisforcongress.com/,RealJohnDennis,,,Republican Party,Lost,"134,941","25,046",0.186,21,4,3,0,2,0,0,0,12,California 11th,,0.314,8,4,0,Federal
Adam Gray,California,House,Federal,Legislative,https://ballotpedia.org/Adam_Gray,https://www.adamgrayforcongress.com/,,,,Democratic Party,Lost,"133,517","66,476",0.498,46,11,0,0,5,0,0,0,30,California 13th,,0.002,0,0,0,Federal
Alison Hayden,California,House,Federal,Legislative,https://ballotpedia.org/Alison_Hayden,https://alison4congress.com/,Alison4Congress,,Elled26,Republican Party,Lost,"74,042","25,383",0.343,6,3,0,0,3,0,0,0,0,California 14th,,0.157,0,0,0,Federal
David Canepa,California,House,Federal,Legislative,https://ballotpedia.org/David_Canepa,https://davidcanepa.com/,davidcanepa,,,Democratic Party,Lost,"119,886","52,639",0.439,36,15,0,0,5,0,0,0,16,California 15th,,0.061,4,0,0,Federal
Rishi Kumar,California,House,Federal,Legislative,https://ballotpedia.org/Rishi_Kumar,https://rishikumar.com/,rishikumar1,,,Democratic Party,Lost,"135,078","56,087",0.415,243,13,2,0,20,0,0,0,208,California 16th,,0.085,9,168,0,Federal
Ritesh Tandon,California,House,Federal,Legislative,https://ballotpedia.org/Ritesh_Tandon,https://www.tandonforcongress.com/,tandon4congress,,,Republican Party,Lost,"92,740","28,212",0.304,34,7,2,0,7,0,0,0,18,California 17th,,0.196,4,8,0,Federal
Marisa Wood,California,House,Federal,Legislative,https://ballotpedia.org/Marisa_Wood,https://marisawoodforcongress.com/,MarisaWoodCA,,,Democratic Party,Lost,"101,371","32,809",0.324,77,18,2,0,22,0,0,0,35,California 20th,,0.176,12,3,0,Federal
Michael Maher,California,House,Federal,Legislative,https://ballotpedia.org/Michael_Maher_(California),https://www.michaelmaher.com/,maher4congress,,,Republican Party,Lost,"102,399","46,281",0.452,146,34,1,0,19,0,0,0,92,California 21st,,0.048,9,4,0,Federal
Derek Marshall,California,House,Federal,Legislative,https://ballotpedia.org/Derek_Marshall,https://www.derekmarshallca.com/,DerekMarshallCA,,,Democratic Party,Lost,"88,134","34,697",0.394,61,12,5,0,4,4,0,0,36,California 23rd,,0.106,0,0,16,Federal
Brad Allen,California,House,Federal,Legislative,https://ballotpedia.org/Brad_Allen_(California),https://www.drbradallen.com,,,,Republican Party,Lost,"139,188","54,682",0.393,89,19,2,0,5,0,0,0,63,California 24th,,0.107,0,0,0,Federal
Brian Hawkins,California,House,Federal,Legislative,https://ballotpedia.org/Brian_Hawkins,https://www.realpastorbrian.com/,realpastorbrian,,,Republican Party,Lost,"70,319","27,697",0.394,79,18,0,0,7,0,0,0,54,California 25th,,0.106,0,0,0,Federal
Christy Smith,California,House,Federal,Legislative,https://ballotpedia.org/Christy_Smith,https://www.christyforcongress.org/,christysmithca,,,Democratic Party,Lost,"165,254","75,704",0.458,80,14,0,0,9,4,0,0,53,California 27th,,0.042,0,0,16,Federal
Wes Hallman,California,House,Federal,Legislative,https://ballotpedia.org/Wes_Hallman,https://weshallmanforcongress.org/,,,,Republican Party,Lost,"117,648","43,250",0.368,3,0,0,0,3,0,0,0,0,California 28th,,0.132,0,0,0,Federal
Angélica María Dueñas,California,House,Federal,Legislative,https://ballotpedia.org/Ang%C3%A9lica_Mar%C3%ADa_Due%C3%B1as,https://www.angelica4congress.com/,angelica4ca,,,Democratic Party,Lost,"61,315","23,281",0.38,89,21,2,0,10,4,0,0,52,California 29th,,0.12,8,14,16,Federal
Daniel Bocic Martinez,California,House,Federal,Legislative,https://ballotpedia.org/Daniel_Bocic_Martinez,https://www.danmartinez4congress.com/,,,,Republican Party,Lost,"85,579","38,508",0.45,5,3,0,0,2,0,0,0,0,California 31st,,0.05,0,0,0,Federal
David Kim,California,House,Federal,Legislative,https://ballotpedia.org/David_Kim_(California),https://www.davidkimforca.com,DavidKimForCA,,,Democratic Party,Lost,"121,074","59,025",0.488,88,21,1,0,9,4,0,0,53,California 34th,,0.012,8,12,16,Federal
Mike Cargile,California,House,Federal,Legislative,https://ballotpedia.org/Mike_Cargile,https://www.cargileforcongress.com/,CargileForCA35,,,Republican Party,Lost,"76,655","33,603",0.438,82,21,3,0,8,4,0,0,46,California 35th,,0.062,0,0,17,Federal
Joe Collins,California,House,Federal,Legislative,https://ballotpedia.org/Joe_Collins_(California),https://joeecollins3.com/,joeecollins3,,,Republican Party,Lost,"151,371","53,215",0.352,132,8,3,0,15,4,0,0,102,California 36th,,0.148,35,33,21,Federal
Jan Perry,California,House,Federal,Legislative,https://ballotpedia.org/Jan_Perry,https://janperry.com/,JanPerry,,,Democratic Party,Lost,"74,313","28,188",0.379,31,15,1,0,2,0,0,0,13,California 37th,,0.121,8,4,0,Federal
Eric Ching,California,House,Federal,Legislative,https://ballotpedia.org/Eric_Ching,https://ericchingforcongress.com/,EricChing4CD38,,,Republican Party,Lost,"114,020","51,186",0.449,30,10,2,0,2,0,0,0,16,California 38th,,0.051,0,0,0,Federal
Aja Smith,California,House,Federal,Legislative,https://ballotpedia.org/Aja_Smith,https://www.ajasmithforcongress.com/,AjaforCongress,,,Republican Party,Lost,"41,599","16,474",0.396,65,19,2,0,7,0,0,0,37,California 39th,,0.104,4,0,0,Federal
Asif Mahmood,California,House,Federal,Legislative,https://ballotpedia.org/Asif_Mahmood,https://drasifmahmood.com/,DrMahmood40,,,Democratic Party,Lost,"187,931","77,939",0.415,50,10,0,0,20,0,0,0,20,California 40th,,0.085,9,4,0,Federal
