location,campaign_website_url,electoral_position,candidate_position,candidate_history,election_result,election_type,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,race_funding,candidate_funding,funding_share,contacted
"New Orleans, LA",https://www.stephanieforcouncil.com/,Council,Open,Never-Held-Office,Won,General,13185,2069,0.1569207433,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://www.electfreddieking.com/,Council,Open,Never-Held-Office,Won,General,13185,5804,0.4401971938,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.vote4knox.com/,Council,Open,Never-Held-Office,Lost,General,13185,1477,0.1120212363,,,#DIV/0!,Contacted
"New Orleans, LA",https://stephenmosgrove.com/,Council,Open,Never-Held-Office,Lost,General,13185,1199,0.09093667046,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.frankperezcitycouncil.com/,Council,Open,Never-Held-Office,Lost,General,13185,1532,0.1161926432,,,#DIV/0!,Contacted
"New Orleans, LA",https://waitersfordistrictc.com/,Council,Open,Never-Held-Office,Lost,General,13185,688,0.05218050815,,,#DIV/0!,Contacted
"New Orleans, LA",https://chantrissefordistrictd.com/,Council,Open,Never-Held-Office,Lost,General,16520,861,0.05211864407,,,#DIV/0!,Contacted
"New Orleans, LA",https://morganclevenger.com/,Council,Open,Never-Held-Office,Lost,General,16520,439,0.02657384988,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://votetroyglover.com/,Council,Open,Never-Held-Office,Won,General,16520,1979,0.1197941889,,,#DIV/0!,Contacted
"New Orleans, LA",https://voteeugenegreen.com/,Council,Open,Never-Held-Office,Won,General,16520,5836,0.3532687651,,,#DIV/0!,Contacted
"New Orleans, LA",https://kevingriffinclark.com/,Council,Open,Never-Held-Office,Lost,General,16520,1494,0.09043583535,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.lawesforneworleans.com/,Council,Open,Never-Held-Office,Lost,General,16520,495,0.02996368039,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.mariahmoorefornola.com/,Council,Open,Never-Held-Office,Lost,General,16520,1385,0.0838377724,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.runwithmurray.com/,Council,Open,Never-Held-Office,Lost,General,16520,377,0.02282082324,,,#DIV/0!,Contacted
"New Orleans, LA",https://kp4districtd.godaddysites.com/,Council,Open,Never-Held-Office,Lost,General,16520,224,0.01355932203,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://www.togetherwithtimolynn.com/,Council,Open,Never-Held-Office,Lost,General,16520,824,0.04987893462,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.kourtneyyoungblood.com/,Council,Open,Never-Held-Office,Lost,General,16520,1279,0.07742130751,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.chelseaardoin.com/,Council,Open,Never-Held-Office,Lost,General,16520,1153,0.06979418886,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.doby4districtd.com/,Council,Open,Never-Held-Office,Lost,General,16520,127,0.007687651332,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.votecopelin.com/,Council,Challenger,Never-Held-Office,Lost,General,14498,691,0.04766174645,,,#DIV/0!,Contacted
"New Orleans, LA",https://www.vanessaforcommunity.com/,Council,Challenger,Never-Held-Office,Lost,General,14498,544,0.03752241689,,,#DIV/0!,Contacted
"New Orleans, LA",https://electaaronmiller.org/,Council,Challenger,Never-Held-Office,Lost,General,14498,147,0.01013932956,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://olivermthomas.com/,Council,Challenger,Never-Held-Office,Won,General,14498,6486,0.4473720513,,,#DIV/0!,Contacted
"Columbia, SC",https://devineformayor.com/,Mayor,Open,In-Office,Lost,General,20316,9762,0.480507974,,,#DIV/0!,Not-Contacted
"Columbia, SC",https://www.rickenmannformayor.com/,Mayor,Open,In-Office,Won,General,20316,10554,0.519492026,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://www.latoyacantrell.com/,Mayor,Incumbent,In-Office,Won,General,75325,48750,0.6471954862,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://lukefontanaformayor.com/,Mayor,Challenger,Never-Held-Office,Lost,General,75325,720,0.009558579489,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://www.vinanguyen4mayor.com,Mayor,Challenger,Never-Held-Office,Lost,General,75325,10133,0.1345237305,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://henolaforlife.com,Mayor,Challenger,Never-Held-Office,Lost,General,75325,6605,0.08768669101,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://www.joeamatofornola.com/,Mayor,Challenger,Never-Held-Office,Lost,General,75325,1256,0.01667441089,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://douglasbentleyformayor.com/,Mayor,Challenger,Never-Held-Office,Lost,General,75325,163,0.00216395619,,,#DIV/0!,Not-Contacted
"New Orleans, LA",https://matthewhillformayor.com/,Mayor,Challenger,Never-Held-Office,Lost,General,75325,535,0.007102555592,,,#DIV/0!,Not-Contacted
